cid,cas,name,group,Volume,Volume publication year,Evaluation year,Additional information
8418,120-12-7,Anthracene,2B,"92, Sup 7, 133",In prep.,2023.0,
637796,120-58-1,Isosafrole,3,"10, Sup 7",1987,1987.0,
8445,120-71-8,para-Cresidine,2B,"27, Sup 7",1987,1987.0,
289,120-80-9,Catechol,2B,"15, Sup 7, 71",1999,1998.0,
,12001-79-5,Vitamin K substances,3,76,2000,1999.0,
,"12070-12-1, 7440-48-4",Tungsten carbide with cobalt metal (see Cobalt metal with tungsten carbide),,,,,
8461,121-14-2,"2,4-Dinitrotoluene",2B,65,1996,1995.0,
8486,121-66-4,2-Amino-5-nitrothiazole,3,"31, Sup 7",1987,1987.0,
949,121-69-7,"N,N-Dimethylaniline",3,57,1993,1992.0,
8489,121-73-3,3-Chloronitrobenzene,3,65,1996,1995.0,
4004,121-75-5,Malathion,2A,"30, Sup 7, 112",2017,2015.0,
4984721,121-88-0,2-Amino-5-nitrophenol,3,57,1993,1992.0,
5284484,12122-67-7,Zineb,3,"12, Sup 7",1987,1987.0,
,12174-11-7,Attapulgite (see Palygorskite),,,,,
,12174-11-7,"Palygorskite (Attapulgite) (long fibres, > 5 micrometres)",2B,68,1997,1996.0,
,12174-11-7,"Palygorskite (Attapulgite)(short fibres, < 5 micrometres)",3,68,1997,1996.0,
454937,12192-57-3,Aurothioglucose,3,"13, Sup 7",1987,1987.0,
5216,122-34-9,Simazine,3,"53, 73",1999,1998.0,
11487,122-39-4,Diphenylamine,2B,130,2022 online,2021.0,
24685,122-42-9,Propham,3,"12, Sup 7",1987,1987.0,
31217,122-60-1,Phenyl glycidyl ether,2B,"47, 71",1999,1998.0,
31222,122-66-7,"1,2-Diphenylhydrazine",2B,130,2022 online,2021.0,
77999,122320-73-4,Rosiglitazone,3,108,2016,2013.0,
785,123-31-9,Hydroquinone,3,"15, Sup 7, 71",1999,1998.0,
21954,123-33-1,Maleic hydrazide,3,"4, Sup 7",1987,1987.0,
,123-35-3,β-Myrcene,2B,119,2019,2017.0,
31275,123-91-1,"1,4-Dioxane",2B,"11, Sup 7, 71",1999,1998.0,
31296,124-48-1,Chlorodibromomethane,3,"52, 71",1999,1998.0,
8948,124-58-3,Methylarsonic acid,2B,100C,2012,2009.0,
,124-58-3,Monomethylarsonic acid (see Methylarsonic acid),,,,,
3032581,12427-38-2,Maneb,3,"12, Sup 7",1987,1987.0,
4909,125-33-7,Primidone,2B,108,2016,2013.0,
441140,126-07-8,Griseofulvin,2B,"Sup 7, 79",2001,2000.0,
31356,126-72-7,"Tris(2,3-dibromopropyl) phosphate",2A,"20, Sup 7, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
9335,126-85-2,Nitrogen mustard N-oxide,2B,"9, Sup 7",1987,1987.0,
31369,126-99-8,Chloroprene,2B,"Sup 7, 71",1999,1998.0,
57134655,12663-46-6,Cyclochlorotine,3,"10, Sup 7",1987,1987.0,
3657,127-07-1,Hydroxyurea,3,76,2000,1999.0,
,127-18-4,Tetrachloroethylene (Perchloroethylene),2A,"Sup 7, 63, 106",2014,2012.0,
31374,127-19-5,"N,N-Dimethylacetamide",2B,123,2020 online,2018.0,
,127-69-5,Sulfafurazole (Sulfisoxazole),3,"24, Sup 7",1987,1987.0,
,128-37-0,Butylated hydroxytoluene (BHT),3,"40, Sup 7",1987,1987.0,
31412,128-66-5,Vat Yellow 4,3,48,1990,1989.0,
31423,129-00-0,Pyrene,3,"Sup 7, 92",2010,2005.0,
31426,129-15-7,2-Methyl-1-nitroanthraquinone (uncertain purity),2B,"27, Sup 7",1987,1987.0,
8507,129-17-9,Blue VRS,3,"16, Sup 7",1987,1987.0,
4641,129-20-4,Oxyphenbutazone,3,"13, Sup 7",1987,1987.0,
8512,129-43-1,1-Hydroxyanthraquinone,2B,82,2002,2002.0,
,129-73-7,Leucomalachite green (see also Malachite green),2B,129,2022 online,2021.0,
,13010-47-4,1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),2A,"26, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,1303-00-0,Gallium arsenide (see Arsenic and inorganic arsenic compounds),,"86, 100C",2012,2009.0,
20189,13045-94-8,Medphalan,3,"9, Sup 7",1987,1987.0,
14786,1307-96-6,Cobalt(II) oxide,2B,"52, 131",2023 online,2022.0,
,1308-06-1,"Cobalt(II,III) oxide",3,"52, 131",2023 online,2022.0,
,1309-37-1,Ferric oxide,3,"1, Sup 7",1987,1987.0,
,1309-64-4,"Antimony trioxide, see Trivalent antimony",,,,,
8578,131-79-3,Yellow OB,3,"8, Sup 7",1987,1987.0,
14802,1313-27-5,Molybdenum trioxide,2B,118,2018 online,2017.0,
14814,1314-62-1,Vanadium pentoxide,2B,86,2006,2003.0,
14832,1317-42-6,Cobalt(II) sulfide,3,"52, 131",2023 online,2022.0,
14833,1317-60-8,Haematite,3,"1, Sup 7",1987,1987.0,
,1318-02-1,"Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)",3,68,1997,1996.0,
23675735,132-27-4,Sodium ortho-phenylphenate,2B,"Sup 7, 73",1999,1998.0,
3023,132-65-0,Dibenzothiophene,3,103,2013,2011.0,
,13233-32-4,Radium-224 and its decay products,1,"78, 100D",2012,2009.0,
25811,13256-22-9,N-Nitrososarcosine,2B,"17, Sup 7",1987,1987.0,
135398735,13292-46-1,Rifampicin,3,"24, Sup 7",1987,1987.0,
8606,133-06-2,Captan,3,"30, Sup 7",1987,1987.0,
,1330-20-7,Xylenes,3,"47, 71",1999,1998.0,
,"1332-21-4, 12172-73-5, 12001-29-5, 12001-28-4","Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)",1,"14, Sup 7, 100C",2012,2009.0,NB Mineral substances (e.g. talc or vermiculite) that contain asbestos should also be regarded as carcinogenic to humans *The presence of an asterisk indicates that the registration is for a substance which CAS does not treat in its regular CA index
5462310,1333-86-4,Carbon black,2B,"Sup 7, 65, 93",2010,2006.0,
,1336-36-3,Polychlorinated biphenyls,1,"18, Sup 7, 107",2016,2013.0,
,1338-16-5,Iron sorbitol-citric acid complex,3,"2, Sup 7",1987,1987.0,
,134-29-2,ortho-Anisidine hydrochloride (see also ortho-Anisidine),2A,127,2021 online,2020.0,
8640,134-32-7,1-Naphthylamine,3,"4, Sup 7",1987,1987.0,
,1345-04-6,"Antimony trisulfide, see Trivalent antimony",,,,,
26042,13463-67-7,Titanium dioxide,2B,"47, 93",2010,2006.0,
61632,13483-18-6,"1,2-Bis(chloromethoxy)ethane",3,"15, Sup 7, 71",1999,1998.0,
135465076,135-20-6,Cupferron,2B,127,2021 online,2020.0,
8679,135-88-6,N-Phenyl-2-naphthylamine,3,"16, Sup 7",1987,1987.0,
8691,136-40-3,Phenazopyridine hydrochloride,2B,"24, Sup 7",1987,1987.0,
8717,137-17-7,"2,4,5-Trimethylaniline",3,"27, Sup 7",1987,1987.0,
5455,137-26-8,Thiram,3,"Sup 7, 53",1991,1990.0,
8722,137-30-4,Ziram,3,"Sup 7, 53",1991,1990.0,
8742,138-59-0,Shikimic acid,3,"40, Sup 7",1987,1987.0,
,139-05-9,Cyclamates (sodium cyclamate),3,"Sup 7, 73",1999,1998.0,
,139-13-9,Nitrilotriacetic acid and its salts,2B,"48, 73",1999,1998.0,NB Evaluated as a group
8765,139-65-1,"4,4'-Thiodianiline",2B,"27, Sup 7",1987,1987.0,
8776,139-94-6,Nithiazide,3,"31, Sup 7",1987,1987.0,
,13909-09-6,1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU) (Semustine),1,"Sup 7, 100A",2012,2008.0,
,13982-63-3,Radium-226 and its decay products,1,"78, 100D",2012,2009.0,
,13983-17-0,Wollastonite,3,"Sup 7, 68",1997,1996.0,
8785,140-11-4,Benzyl acetate,3,"40, Sup 7, 71",1999,1998.0,
23668198,140-56-7,para-Dimethylaminoazobenzenediazo sodium sulfonate,3,"8, Sup 7",1987,1987.0,
,140-57-8,Aramite®,2B,"5, Sup 7",1987,1987.0,
8821,140-88-5,Ethyl acrylate,2B,"39, Sup 7, 71, 122",2019,2018.0,
16133892,1401-55-4,Tannic acid and tannins,3,"10, Sup 7",1987,1987.0,
,1402-68-2,Aflatoxins,1,"Sup 7, 56, 82, 100F",2012,2009.0,
,14047-09-7,"3,3′,4,4′-Tetrachloroazobenzene",2A,117,2019,2016.0,NB Overall evaluation upgraded to Group 2A
8846,141-32-2,n-Butyl acrylate,3,"39, Sup 7, 71",1999,1998.0,
61094,141-37-7,"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate",3,"11, Sup 7, 71",1999,1998.0,
1269845,141-90-2,Thiouracil,2B,"Sup 7, 79",2001,2000.0,
,142-04-1,Aniline hydrochloride (see also Aniline),2A,127,2021 online,2020.0,
637564,142-83-6,"2,4-Hexadienal",2B,101,2013,2011.0,
299,143-50-0,Chlordecone (Kepone),2B,"20, Sup 7",1987,1987.0,
5388983,143-67-9,Vinblastine sulfate,3,"26, Sup 7",1987,1987.0,
8951,144-34-3,Methyl selenac,3,"12, Sup 7",1987,1987.0,
26710,14484-64-1,Ferbam,3,"12, Sup 7",1987,1987.0,
,14596-37-3,"Phosphorus-32, as phosphate",1,"78, 100D",2012,2009.0,
,1464-53-5,"1,2:3,4-Diepoxybutane (see 1,3-Butadiene)",,"11, Sup 7",,,
533728,148-18-5,Sodium diethyldithiocarbamate,3,"12, Sup 7",1987,1987.0,
1923,148-24-3,8-Hydroxyquinoline,3,"13, Sup 7",1987,1987.0,
460612,148-82-3,Melphalan,1,"9, Sup 7, 100A",2012,2008.0,
,14807-96-6,Talc containing asbestiform fibres (see Asbestos),,"42, Sup 7",1987,1987.0,
,14807-96-6,Talc not containing asbestos or asbestiform fibres,3,"42, Sup 7, 93",2010,2006.0,
,14807-96-6,Talc-based body powder (perineal use of),2B,93,2010,2006.0,
,14808-60-7,"Silica dust, crystalline, in the form of quartz or cristobalite",1,"Sup 7, 68, 100C",2012,2009.0,
4696,149-29-1,Patulin,3,"40, Sup 7",1987,1987.0,
697993,149-30-4,2-Mercaptobenzothiazole,2A,115,2018,2016.0,
5459896,14901-08-7,Cycasin,2B,"10, Sup 7",1987,1987.0,
978,150-13-0,para-Aminobenzoic acid,3,"16, Sup 7",1987,1987.0,
8800,150-68-5,Monuron,3,"Sup 7, 53",1991,1990.0,
9013,150-69-6,Dulcin,3,"12, Sup 7",1987,1987.0,
11048,15086-94-9,Eosin,3,"15, Sup 7",1987,1987.0,
9033,151-56-4,Aziridine,2B,"9, Sup 7, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
,15262-20-1,Radium-228 and its decay products,1,"78, 100D",2012,2009.0,
,154-93-8,Bischloroethyl nitrosourea (BCNU) (Carmustine),2A,"26, Sup 7",1987,1987.0,
,15501-74-3,Sepiolite,3,"Sup 7, 68",1997,1996.0,
5281734,15503-86-3,Isatidine,3,"10, Sup 7",1987,1987.0,
9074,156-10-5,para-Nitrosodiphenylamine,3,"27, Sup 7",1987,1987.0,
61100,156-51-4,Phenelzine sulfate,3,"24, Sup 7",1987,1987.0,
,15625-89-5,"Trimethylolpropane triacrylate, technical grade",2B,122,2019,2018.0,
5702198,15663-27-1,Cisplatin,2A,"26, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
27465,15721-02-5,"2,2',5,5'-Tetrachlorobenzidine",3,"27, Sup 7",1987,1987.0,
5569,1582-09-8,Trifluralin,3,53,1991,1990.0,
,16065-83-1,Chromium (III) compounds,3,49,1990,1989.0,
,16071-86-6,"CI Direct Brown 95 (see Benzidine, dyes metabolized to)",,,,,
15374,1615-80-1,"1,2-Diethylhydrazine",2B,"4, Sup 7, 71",1999,1998.0,
15413,1634-04-4,Methyl tert-butyl ether,3,73,1999,1998.0,
,"16543-55-8, 64091-91-4",N'-Nitrosonornicotine (NNN) and 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone (NNK),1,"Sup 7, 89, 100E",2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
9548611,16568-02-8,Gyromitrin,3,"31, Sup 7",1987,1987.0,
,1675-54-3,Bisphenol A diglycidyl ether (Araldite),3,"47, 71",1999,1998.0,
15529,1689-82-3,4-Hydroxyazobenzene,3,"8, Sup 7",1987,1987.0,
5284479,1694-09-3,Benzyl violet 4B,2B,"16, Sup 7",1987,1987.0,
,16984-48-8,"Fluorides (inorganic, used in drinking-water)",3,"27, Sup 7",1987,1987.0,
15564,1705-85-7,6-Methylchrysene,3,"Sup 7, 92",2010,2005.0,
15565,1706-01-0,3-Methylfluoranthene,3,"Sup 7, 92",2010,2005.0,
2825690,17117-34-9,3-Nitrobenzanthrone,2B,105,2014,2012.0,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-para-dioxin",1,"Sup 7, 69, 100F",2012,2009.0,
,1763-23-1,Perfluorooctanesulfonic acid (PFOS),2B,135,In prep.,2023.0,
,1836-75-5,Nitrofen (technical-grade),2B,"30, Sup 7",1987,1987.0,
,18540-29-9,Chromium (VI) compounds,1,"Sup 7, 49, 100C",2012,2009.0,
29327,18883-66-4,Streptozotocin,2B,"17, Sup 7",1987,1987.0,
9106,189-55-9,"Dibenzo[a,i]pyrene",2B,92,2010,2005.0,
9108,189-64-0,"Dibenzo[a,h]pyrene",2B,"Sup 7, 92",2010,2005.0,
15910,1897-45-6,Chlorothalonil,2B,"Sup 7, 73",1999,1998.0,
9115,191-07-1,Coronene,3,"32, Sup 7, 92",2010,2005.0,
9117,191-24-2,Benzo[ghi]perylene,3,"92, Sup 7",2010,2005.0,
9118,191-26-4,Anthanthrene,3,"92, Sup 7",2010,2005.0,
9119,191-30-0,"Dibenzo[a,l]pyrene",2A,"Sup 7, 92",2010,2005.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
2256,1912-24-9,Atrazine,3,"53, 73",1999,1998.0,NB Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
15965,2/1/1918,Picloram,3,53,1991,1990.0,
9121,192-47-2,"Dibenzo[h,rst]pentaphene",3,"Sup 7, 92",2010,2005.0,
9122,192-51-8,"Dibenzo[e,l]pyrene",3,92,2010,2005.0,
9126,192-65-4,"Dibenzo[a,e]pyrene",3,"Sup 7, 92",2010,2005.0,
9128,192-97-2,Benzo[e]pyrene,3,"92, Sup 7",2010,2005.0,
9129,193-09-9,"Naphtho[2,3-e]pyrene",3,92,2010,2005.0,
9131,193-39-5,"Indeno[1,2,3-cd]pyrene",2B,"Sup 7, 92",2010,2005.0,
16015,1936-15-8,CI Orange G,3,"8, Sup 7",1987,1987.0,
,1936-15-8,Orange G (see CI Orange G),,,,,
,1937-37-7,"CI Direct Black 38 (see Benzidine, dyes metabolized to)",,,,,
9134,194-59-2,"7H-Dibenzo[c,g]carbazole",2B,"32, Sup 7, 103",2013,2011.0,
9136,195-19-7,Benzo[c]phenanthrene,2B,"92, Sup 7",2010,2005.0,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
16058,1954-28-5,Triethylene glycol diglycidyl ether,3,"11, Sup 7, 71",1999,1998.0,
9140,196-78-1,Benzo[g]chrysene,3,92,2010,2005.0,
9142,198-55-0,Perylene,3,"Sup 7, 92",2010,2005.0,
62739,20073-24-9,3-Carbethoxypsoralen,3,"40, Sup 7",1987,1987.0,
104987,202-33-5,Benz[j]aceanthrylene,2B,92,2010,2005.0,NB Overall evaluation upgraded to Group 2B with supporting mechanistic and other relevant data
164558,202-94-8,11H-Benz[bc]aceanthrylene,3,92,2010,2005.0,
67458,202-98-2,4H-Cyclopenta[def]chrysene,3,92,2010,2005.0,
30086,20268-51-3,7-Nitrobenz[a]anthracene,3,46,1989,1988.0,
9144,203-12-3,Benzo[ghi]fluoranthene,3,"92, Sup 7",2010,2005.0,
9145,203-20-3,"Naphtho[2,1-a]fluoranthene",3,92,2010,2005.0,
9146,203-33-8,Benzo[a]fluoranthene,3,"Sup 7, 92",2010,2005.0,
9150,205-12-9,Benzo[c]fluorene,3,"92, Sup 7",2010,2005.0,
9152,205-82-3,Benzo[j]fluoranthene,2B,92,2010,2005.0,
9153,205-99-2,Benzo[b]fluoranthene,2B,92,2010,2005.0,
62743,20589-63-3,3-Nitroperylene,3,46,1989,1988.0,
9154,206-44-0,Fluoranthene,3,"Sup 7, 92",2010,2005.0,
249332,2068-78-2,Vincristine sulfate,3,"26, Sup 7",1987,1987.0,
9158,207-08-9,Benzo[k]fluoranthene,2B,92,2010,2005.0,
9159,207-83-0,"13H-Dibenzo[a,g]fluorene",3,92,2010,2005.0,
2724385,20830-75-5,Digoxin,2B,108,2016,2013.0,
,20830-81-3,Daunomycin (Daunorubicin),2B,"10, Sup 7",1987,1987.0,
519829,20941-65-5,Ethyl tellurac,3,"12, Sup 7",1987,1987.0,
105092,211-91-6,Benz[l]aceanthrylene,3,92,2010,2005.0,
5284461,21259-20-1,T2-Trichothecene,3,"31, Sup 7",1987,1987.0,
9162,213-46-7,Picene,3,92,2010,2005.0,
9163,214-17-5,Benzo[b]chrysene,3,92,2010,2005.0,
9164,215-58-7,"Dibenz[a,c]anthracene",3,"Sup 7, 92",2010,2005.0,
16562,2164-17-2,Fluometuron,3,"30, Sup 7",1987,1987.0,
62432,2168-68-5,Bis(1-aziridinyl)morpholinophosphine sulfide,3,"9, Sup 7",1987,1987.0,
9170,217-59-4,Triphenylene,3,"Sup 7, 92",2010,2005.0,
9171,218-01-9,Chrysene,2B,92,2010,2005.0,
30840,21884-44-6,Luteoskyrin,3,"10, Sup 7",1987,1987.0,
5284462,22248-79-9,Tetrachlorvinphos,2B,"30, Sup 7, 112",2017,2015.0,
62758,22349-59-3,"1,4-Dimethylphenanthrene",3,"Sup 7, 92",2010,2005.0,
31170,22398-80-7,Indium phosphide,2A,86,2006,2003.0,NB Overall evaluation upgraded to Group 2A
9176,224-41-9,"Dibenz[a,j]anthracene",3,"Sup 7, 92",2010,2005.0,
9177,224-42-0,"Dibenz[a,j]acridine",2A,"32, Sup 7, 103",2013,2011.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
9178,224-53-3,"Dibenz[c,h]acridine",2B,103,2013,2011.0,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
16720,2243-62-1,"1,5-Naphthalenediamine",3,"27, Sup 7",1987,1987.0,
9180,225-11-6,Benz[a]acridine,3,"32, Sup 7, 103",2013,2011.0,
9181,225-51-4,Benz[c]acridine,3,"32, Sup 7, 103",2013,2011.0,
31186,22506-53-2,"3,9-Dinitrofluoranthene",2B,"46, 65, 105",2014,2012.0,
5281754,22571-95-5,Symphytine,3,"31, Sup 7",1987,1987.0,
9183,226-36-8,"Dibenz[a,h]acridine",2B,"32, Sup 7, 103",2013,2011.0,
134601,22839-47-0,Aspartame,2B,134,In prep.,2023.0,
31586,22966-79-6,Oestradiol mustard,3,"9, Sup 7",1987,1987.0,
62767,22975-76-4,"4,4'-Dimethylangelicin plus ultraviolet A radiation",3,Sup 7,1987,1987.0,
5284376,2303-16-4,Diallate,3,"30, Sup 7",1987,1987.0,
5281752,2318-18-5,Senkirkine,3,"31, Sup 7",1987,1987.0,
,23214-92-8,Adriamycin (Doxorubicin),2A,"10, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
5281744,23246-96-0,Riddelliine,2B,"10, Sup 7, 82",2002,2002.0,
285666,23255-93-8,Hycanthone mesylate,3,"13, Sup 7",1987,1987.0,
16887,2353-45-9,Fast Green FCF,3,"16, Sup 7",1987,1987.0,
62769,23537-16-8,Rugulosin,3,"40, Sup 7",1987,1987.0,
23662398,23746-34-1,Potassium bis(2-hydroxyethyl)dithiocarbamate,3,"12, Sup 7",1987,1987.0,
9195,238-84-6,Benzo[a]fluorene,3,"Sup 7, 92",2010,2005.0,
16945,2385-85-5,Mirex,2B,"20, Sup 7",1987,1987.0,
61307,2386-90-5,"Bis(2,3-epoxycyclopentyl)ether",3,"47, 71",1999,1998.0,
9198,239-35-0,"Benzo[b]naphtho[2,1-d]thiophene",3,103,2013,2011.0,
17038,6/1/2425,Captafol,2A,53,1991,1990.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,2425-85-6,CI Pigment Red 3,3,57,1993,1992.0,
17049,8/6/2426,1-Butyl glycidyl ether,2B,125,2020 online,2019.0,
17059,2429-74-5,CI Direct Blue 15,2B,57,1993,1992.0,
9201,243-17-4,Benzo[b]fluorene,3,"92, Sup 7",2010,2005.0,
17083,2432-99-7,11-Aminoundecanoic acid,3,"39, Sup 7",1987,1987.0,
15868,24560-98-3,"cis-9,10-Epoxystearic acid",3,"11, Sup 7, 71",1999,1998.0,
17190,2475-45-8,Disperse Blue 1,2B,48,1990,1989.0,
,24938-64-5,para-Aramid fibrils,3,68,1997,1996.0,
,25013-15-4,Vinyl toluene,3,60,1994,1994.0,
,25013-16-5,Butylated hydroxyanisole (BHA),2B,"40, Sup 7",1987,1987.0,
,25038-54-4,Nylon 6,3,"19, Sup 7",1987,1987.0,
,25732-74-5,"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)",3,92,2010,2005.0,
3463,25812-30-0,Gemfibrozil,3,66,1996,1996.0,
,25962-77-0,"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole",2B,"7, Sup 7",1987,1987.0,
,2602-46-2,"CI Direct Blue 6 (see Benzidine, dyes metabolized to)",,,,,
,26148-68-5,"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",2B,"40, Sup 7",1987,1987.0,
9216,262-12-4,Dibenzo-para-dioxin,3,69,1997,1997.0,
33474,26308-28-1,Ripazepam,3,66,1996,1996.0,
,2646-17-5,Oil Orange SS,2B,"8, Sup 7",1987,1987.0,
,26471-62-5,Toluene diisocyanates,2B,"39, Sup 7, 71",1999,1998.0,
76957522,26782-43-4,Hydroxysenkirkine,3,"10, Sup 7",1987,1987.0,
9223,271-89-6,Benzofuran,2B,63,1995,1995.0,
33743,27208-37-3,Cyclopenta[cd]pyrene,2A,"Sup 7, 92",2010,2005.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
439517,2757-90-6,Agaritine,3,"31, Sup 7",1987,1987.0,
17730,2783-94-0,Sunset Yellow FCF,3,"8, Sup 7",1987,1987.0,
17734,2784-94-3,HC Blue No. 1,2B,57,1993,1992.0,
17811,2832-40-8,Disperse Yellow 3,3,48,1990,1989.0,
17816,2835-39-4,Allyl isovalerate,3,"36, Sup 7, 71",1999,1998.0,
24832073,28407-37-6,CI Direct Blue 218,2B,129,2022 online,2021.0,
34239,28434-86-8,"3,3'-Dichloro-4,4'-diaminodiphenyl ether",2B,"16, Sup 7",1987,1987.0,
3465817,1/4/2871,HC Red No. 3,3,57,1993,1992.0,
34457,29069-24-7,Prednimustine,3,50,1990,1989.0,
135565414,29291-35-8,N-Nitrosofolic acid,3,"17, Sup 7",1987,1987.0,
4890,2955-38-6,Prazepam,3,66,1996,1996.0,
18096,10/6/2973,Diisopropyl sulfate,2B,"54, 71",1999,1998.0,
452548,29767-20-2,Teniposide,2A,76,2000,1999.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
4130,298-00-0,Methyl parathion,3,"30, Sup 7",1987,1987.0,
,298-81-7,Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation,1,"24, Sup 7, 100A",2012,2008.0,
9882105,299-75-2,Treosulfan,1,"26, Sup 7, 100A",2012,2008.0,
3261,29975-16-4,Estazolam,3,66,1996,1996.0,
18177,3018-12-0,Dichloroacetonitrile,3,"52, 71",1999,1998.0,
9321,302-01-2,Hydrazine,2A,"4, Sup 7, 71, 115",2018,2016.0,
2707,302-17-0,Chloral hydrate,2A,"63, 84, 106",2014,2012.0,
5281735,303-34-4,Lasiocarpine,2B,"10, Sup 7",1987,1987.0,
442530,303-47-9,Ochratoxin A,2B,"Sup 7, 56",1993,1992.0,
61873,30310-80-6,N-Nitrosohydroxyproline,3,"17, Sup 7",1987,1987.0,
2708,305-03-3,Chlorambucil,1,"26, Sup 7, 100A",2012,2008.0,
,30516-87-1,Zidovudine (AZT),2B,76,2000,1999.0,
18303,3068-88-0,beta-Butyrolactone,2B,"11, Sup 7, 71",1999,1998.0,
,308068-56-6,"Carbon nanotubes, multiwalled MWCNT-7",2B,111,2017,2014.0,
,308068-56-6,"Carbon nanotubes, multiwalled, other than MWCNT-7",3,111,2017,2014.0,
,308068-56-6,"Carbon nanotubes, single-walled",3,111,2017,2014.0,
,308068-56-6,"Multiwalled carbon nanotubes MWCNT-7 (see Carbon nanotubes, multiwalled MWCNT-7)",,,,,
,308068-56-6,"Multiwalled carbon nanotubes other than MWCNT-7 (see Carbon nanotubes, multiwalled, other than MWCNT-7)",,,,,
,308068-56-6,"Single-walled carbon nanotubes (see Carbon nanotubes, single-walled)",,,,,
,308076-74-6,"Silicon carbide, fibrous",2B,111,2017,2014.0,
,309-00-2,"Aldrin (see Dieldrin, and aldrin metabolized to dieldrin)",,,,,
18386,3118-97-6,Sudan II,3,"8, Sup 7",1987,1987.0,
2236,313-67-7,Aristolochic acid,1,"82, 100A",2012,2008.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
,313-67-7,"Aristolochic acid, plants containing",1,"82, 100A",2012,2008.0,
9409,314-13-6,Evans blue,3,"8, Sup 7",1987,1987.0,
9414,315-18-4,Zectran,3,"12, Sup 7",1987,1987.0,
9415,315-22-0,Monocrotaline,2B,"10, Sup 7",1987,1987.0,
18503,3173-72-6,"1,5-Naphthalene diisocyanate",3,"19, Sup 7, 71",1999,1998.0,
9444,320-67-2,Azacitidine,2A,50,1990,1989.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
18617,3252-43-5,Dibromoacetonitrile,2B,"52, 71, 101",2013,2011.0,
18692,3296-90-0,"2,2-Bis(bromomethyl)propane-1,3-diol",2B,77,2000,2000.0,
689043,331-39-5,Caffeic acid,2B,56,1993,1992.0,
36383,33229-34-4,HC Blue No. 2,3,57,1993,1992.0,
3017,333-41-5,Diazinon,2A,112,2017,2015.0,NB Overall evaluation upgraded to Group 2A based on mechanistic evidence
9550,334-88-3,Diazomethane,3,"7, Sup 7",1987,1987.0,
36462,33419-42-0,Etoposide,1,"76, 100A",2012,2008.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
56842162,"33419-42-0, 15663-27-1, 11056-06-7",Etoposide in combination with cisplatin and bleomycin,1,"76, 100A",2012,2008.0,
,335-67-1,Perfluorooctanoic acid (PFOA),1,"110, 135",In prep.,2023.0,
18779,3351-28-8,1-Methylchrysene,3,"Sup 7, 92",2010,2005.0,
18780,3351-30-2,4-Methylchrysene,3,"Sup 7, 92",2010,2005.0,
18781,3351-31-3,3-Methylchrysene,3,"Sup 7, 92",2010,2005.0,
18782,3351-32-4,2-Methylchrysene,3,"Sup 7, 92",2010,2005.0,
35702,33543-31-6,2-Methylfluoranthene,3,"Sup 7, 92",2010,2005.0,
19095,9/8/3564,Ponceau 3R,2B,"8, Sup 7",1987,1987.0,
19118,3567-69-9,Carmoisine,3,"8, Sup 7",1987,1987.0,
3607071,3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,2B,"7, Sup 7",1987,1987.0,
