code,CAS,name,cid
P121,557-21-1,Zinc cyanide Zn(CN)2,11186
P122,1314-84-7,"Zinc phosphide Zn3 P2, when present at concentrations greater than 10% (R,T)",25113606
P123,8001-35-2,Toxaphene,5284469
P127,1563-66-2,"7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-, methylcarbamate.",2566
P127,1563-66-2,Carbofuran,2566
P128,315-8-4,Mexacarbate,9414
P128,315-18-4,"Phenol, 4-(dimethylamino)-3,5-dimethyl-, methylcarbamate (ester)",9414
P185,26419-73-8,"1,3-Dithiolane-2-carboxaldehyde, 2,4-dimethyl-, O-[(methylamino)-carbonyl]oxime.",0
P185,26419-73-8,Tirpate,0
P188,57-64-7,"Benzoic acid, 2-hydroxy-, compd. with (3aS-cis)-1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-yl methylcarbamate ester (1:1)",657348
P188,57-64-7,Physostigmine salicylate,657348
P189,55285-14-8,"Carbamic acid, [(dibutylamino)-thio]methyl-, 2,3-dihydro-2,2-dimethyl-7-benzofuranyl ester",41384
P189,55285-14-8,Carbosulfan,41384
P190,1129-41-5,"Carbamic acid, methyl-, 3-methylphenyl ester",14322
P190,1129-41-5,Metolcarb,14322
P191,644-64-4,"Carbamic acid, dimethyl-, 1-[(dimethyl-amino)carbonyl]-5-methyl-1H-pyrazol-3-yl ester",12572
P191,644-64-4,Dimetilan,12572
P192,119-38-0,"Carbamic acid, dimethyl-, 3-methyl-1-(1-methylethyl)-1H-pyrazol-5-yl ester",8393
P192,119-38-0,Isolan,8393
P194,23135-22-0,"Ethanimidthioic acid, 2-(dimethylamino)-N-[[(methylamino) carbonyl]oxy]-2-oxo-, methyl ester",9595287
P194,23135-22-0,Oxamyl,9595287
P196,15339-36-3,"Manganese, bis(dimethylcarbamodithioato-S,S′)-,",0
P196,15339-36-3,Manganese dimethyldithiocarbamate,0
P197,17702-57-7,Formparanate,0
P197,17702-57-7,"Methanimidamide, N,N-dimethyl-N′-[2-methyl-4-[[(methylamino)carbonyl]oxy]phenyl]-",0
P198,23422-53-9,Formetanate hydrochloride,31899
P198,23422-53-9,"Methanimidamide, N,N-dimethyl-N′-[3-[[(methylamino)-carbonyl]oxy]phenyl]-monohydrochloride",31899
P199,2032-65-7,Methiocarb,16248
P199,2032-65-7,"Phenol, (3,5-dimethyl-4-(methylthio)-, methylcarbamate",16248
P201,2631-37-0,"Phenol, 3-methyl-5-(1-methylethyl)-, methyl carbamate",17516
P201,2631-37-0,Promecarb,17516
P202,64-00-6,m-Cumenyl methylcarbamate,6143
P202,64-00-6,3-Isopropylphenyl N-methylcarbamate,6143
P202,64-00-6,"Phenol, 3-(1-methylethyl)-, methyl carbamate",6143
P203,1646-88-4,Aldicarb sulfone,9570093
P203,1646-88-4,"Propanal, 2-methyl-2-(methyl-sulfonyl)-, O-[(methylamino)carbonyl] oxime",9570093
P204,57-47-6,Physostigmine,5983
P204,57-47-6,"Pyrrolo[2,3-b]indol-5-ol, 1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-, methylcarbamate (ester), (3aS-cis)-",5983
P205,137-30-4,"Zinc, bis(dimethylcarbamodithioato-S,S′)-,",8722
P205,137-30-4,Ziram,8722
